csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,sample_name,label
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,400830.87,8416.096,1.12,8416.096,1.16,8419.6,1.072,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,116609.9,8416.096,1.12,8416.096,1.16,8419.6,1.072,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,222777.3,9204.496,2.32,9204.496,2.4,9208.0,2.24,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,62072.0,8310.976,1.368,8310.976,1.416,8310.976,1.32,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,123162.34,8615.824,1.416,8605.312,1.472,8626.336,1.352,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,400353.59,9176.464,1.952,9176.464,2.016,9179.968,1.88,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,54718.25000000001,8587.792,1.376,8587.792,1.44,8591.296,1.304,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,93236.15000000002,9176.464,1.944,9176.464,2.0,9179.968,1.888,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,108042.0,8661.376,1.288,8661.376,1.336,8664.88,1.24,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,315172.48,8601.808,1.136,8601.808,1.184,8605.312,1.088,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,426921.9100000001,8419.6,1.12,8416.096,1.16,8423.104,1.072,Green River Shale Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,86576.38,8416.096,1.12,8416.096,1.16,8419.6,1.072,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,135867.96000000002,10115.536,2.792,10108.528,2.888,10126.048,2.696,Lignite,1
230830_01_EET96029_300uLDCM_100oC24h.csv,110064.46000000002,5178.4,3.28,5174.896,3.36,5185.408,3.2,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,67726.2,5181.904,3.12,5174.896,3.152,5188.912,3.08,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,113067.47,5164.384,2.872,5160.88,2.952,5171.392,2.792,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,45115.54,5178.4,2.336,5174.896,2.368,5185.408,2.304,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,63442.10999999999,5178.4,1.928,5174.896,1.968,5185.408,1.88,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,46536.75,5181.904,1.672,5178.4,1.712,5185.408,1.632,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,84669.0,5178.4,1.52,5174.896,1.6,5181.904,1.44,EET 96029,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,74331.85999999999,8580.784,1.304,8570.272,1.344,8591.296,1.256,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,49764.51,9246.544,2.424,9246.544,2.496,9250.048,2.352,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,128186.27000000002,9176.464,1.952,9176.464,2.032,9179.968,1.864,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1006279.0799999998,9726.592,2.424,9723.088,2.552,9730.096,2.296,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,256125.18,9726.592,2.4,9723.088,2.496,9730.096,2.304,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,188758.0,9754.624,1.912,9754.624,1.976,9758.128,1.848,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,188491.75,9779.152,1.912,9775.648,1.976,9782.656,1.848,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,128966.0,8650.864,1.216,8650.864,1.264,8654.368,1.168,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,94587.29,9758.128,1.936,9754.624,2.024,9761.632,1.848,Lignite,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,200612.04,8885.632,1.832,8882.128,1.896,8889.136,1.76,Murchison,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,58856.61,9442.768,1.88,9442.768,1.92,9446.272,1.832,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,271004.89,9765.136,2.024,9765.136,2.096,9768.64,1.952,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,115077.41000000002,9765.136,2.024,9761.632,2.112,9768.64,1.936,Lignite,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,40030.49,7448.992,1.496,7441.984,1.552,7459.504,1.44,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,37857.59,9754.624,1.912,9754.624,1.944,9758.128,1.88,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,93206.27000000002,9779.152,1.872,9775.648,1.936,9782.656,1.8,Lignite,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,37069.22,7175.68,1.832,7161.664,1.872,7189.696,1.792,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,45167.01999999999,7049.536,1.944,7042.528,1.976,7056.544,1.904,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,38140.74,7385.92,1.552,7385.92,1.592,7389.424,1.512,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,40367.76,7396.432,1.568,7392.928,1.608,7399.936,1.52,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,546439.0599999999,10175.104,2.656,10164.592,2.824,10185.616,2.488,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,177665.0,9968.368,2.536,9964.864,2.656,9971.872,2.416,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,42864.880000000005,9824.704,2.176,9824.704,2.232,9828.208,2.112,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,177930.12000000002,9926.32,2.08,9926.32,2.16,9929.824,2.0,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,113027.73000000004,9901.792,2.072,9901.792,2.128,9905.296,2.008,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,356541.78,9779.152,1.904,9775.648,1.984,9786.16,1.824,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,122107.4,9667.024,1.912,9663.52,1.984,9674.032,1.84,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,406658.51,9772.144,2.008,9761.632,2.136,9782.656,1.88,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,91844.63,9810.688,2.048,9807.184,2.112,9814.192,1.984,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,249098.0600000001,9772.144,1.92,9761.632,2.096,9782.656,1.744,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,248035.84000000017,9768.64,1.904,9754.624,1.992,9782.656,1.816,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,239625.84,10550.032,1.848,10546.528,1.92,10557.04,1.776,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,119067.36000000002,10550.032,1.848,10543.024,1.912,10557.04,1.784,Lignite,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,54936.0,8696.416,1.12,8696.416,1.152,8699.92,1.08,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,97629.27,10020.928,2.344,10017.424,2.432,10024.432,2.248,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,39408.25,9821.2,2.088,9821.2,2.152,9824.704,2.016,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,78609.66,10038.448,1.928,10038.448,1.976,10041.952,1.872,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,253162.87,9985.888,2.056,9982.384,2.16,9992.896,1.952,Lignite,1
230830_01_EET96029_300uLDCM_100oC24h.csv,175465.68000000008,5171.392,3.4,5164.384,3.504,5181.904,3.288,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,323437.6900000001,5174.896,2.248,5164.384,2.432,5185.408,2.056,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,135642.87000000005,5174.896,1.936,5167.888,2.024,5185.408,1.848,EET 96029,0
230830_01_EET96029_300uLDCM_100oC24h.csv,105261.6,5174.896,1.744,5167.888,1.808,5185.408,1.68,EET 96029,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1824278.2499999988,9870.256,2.216,9866.752,2.336,9873.76,2.088,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,551019.9,9870.256,2.2,9866.752,2.296,9873.76,2.104,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,91580.06,9870.256,2.2,9870.256,2.304,9873.76,2.088,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,43927.380000000005,10455.424,2.512,10451.92,2.56,10462.432,2.464,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,54430.88,10413.376,2.544,10413.376,2.592,10416.88,2.496,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,35504.0,10378.336,2.136,10378.336,2.176,10378.336,2.096,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,356593.25,10108.528,1.88,10105.024,1.96,10115.536,1.792,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,53446.85999999999,10420.384,2.504,10420.384,2.552,10423.888,2.448,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,259655.0,9709.072,1.944,9705.568,2.008,9712.576,1.872,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,527496.5,10550.032,1.84,10546.528,1.92,10557.04,1.76,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,174899.64000000007,10550.032,1.848,10546.528,1.904,10557.04,1.792,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,120275.73,10119.04,1.856,10112.032,1.928,10126.048,1.784,Green River Shale Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,88102.96,10550.032,1.84,10546.528,1.896,10557.04,1.776,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,177103.6500000001,10455.424,2.256,10441.408,2.344,10472.944,2.16,Green River Shale Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,55454.48,7214.224,1.72,7200.208,1.776,7231.744,1.664,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,35040.99,7186.192,1.744,7186.192,1.768,7189.696,1.712,Orgueil,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,36418.17,8805.04,2.528,8794.528,2.56,8819.056,2.496,Jbilet Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,365015.7600000001,8812.048,2.52,8794.528,2.576,8829.568,2.464,Jbilet Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,158537.80000000002,8808.544,2.512,8791.024,2.552,8826.064,2.472,Jbilet Winselwan,0
